,Country name (ISO 3166),iso_alpha,Country,Capacity (MW),hover_text,capacity log
0,Afghanistan,AFG,,,,
1,Åland Islands,ALA,,,,
2,Albania,ALB,,,,
3,Algeria,DZA,,,,
4,American Samoa,ASM,,,,
5,Andorra,AND,,,,
6,Angola,AGO,,,,
7,Anguilla,AIA,,,,
8,Antarctica,ATA,,,,
9,Antigua and Barbuda,ATG,,,,
10,Argentina,ARG,Argentina,375.0,Argentina: 375 MW<extra></extra>,2.574031267727719
11,Armenia,ARM,,,,
12,Aruba,ABW,,,,
13,Australia,AUS,Australia,25107.0,"Australia: 25,107 MW<extra></extra>",4.399794822578217
14,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
15,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
16,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
17,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
18,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
19,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
20,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
21,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
22,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
23,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
24,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
25,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
26,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
27,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
28,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
29,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
30,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
31,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
32,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
33,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
34,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
35,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
36,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
37,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
38,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
39,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
40,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
41,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
42,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
43,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
44,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
45,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
46,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
47,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
48,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
49,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
50,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
51,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
52,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
53,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
54,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
55,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
56,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
57,Austria,AUT,Austria,0.0,Austria: 0 MW<extra></extra>,-inf
